Dados	Densidade de Fluxo (Jy)	G1	G2	G3	G4	G5	Ajuste		
-761.585023	-0.04499	0.15536	0.00000	0.00000	0.00000	0.00000	0.15536	0.04014	0.20035
-760.682153	0.06523	0.15652	0.00000	0.00000	0.00000	0.00000	0.15652	0.00833	0.09129
-759.779283	0.04484	0.15769	0.00000	0.00000	0.00000	0.00000	0.15769	0.01274	0.11285
-758.876413	-0.35213	0.15886	0.00000	0.00000	0.00000	0.00000	0.15886	0.26112	0.51100
-757.973543	-0.67961	0.16004	0.00000	0.00000	0.00000	0.00000	0.16004	0.70502	0.83965
-757.070674	-0.02422	0.16123	0.00000	0.00000	0.00000	0.00000	0.16123	0.03439	0.18544
-756.167804	0.15283	0.16242	0.00000	0.00000	0.00000	0.00000	0.16242	0.00009	0.00958
-755.264934	0.38680	0.16361	0.00000	0.00000	0.00000	0.00000	0.16361	0.04981	-0.22319
-754.362064	0.00611	0.16482	0.00000	0.00000	0.00000	0.00000	0.16482	0.02519	0.15871
-753.459194	0.07703	0.16603	0.00000	0.00000	0.00000	0.00000	0.16603	0.00792	0.08899
-752.556324	-0.07523	0.16724	0.00000	0.00000	0.00000	0.00000	0.16724	0.05879	0.24247
-751.653455	-0.01117	0.16847	0.00000	0.00000	0.00000	0.00000	0.16847	0.03227	0.17963
-750.750585	0.04731	0.16970	0.00000	0.00000	0.00000	0.00000	0.16970	0.01498	0.12238
-749.847715	-0.18795	0.17093	0.00000	0.00000	0.00000	0.00000	0.17093	0.12879	0.35888
-748.944845	-0.34241	0.17217	0.00000	0.00000	0.00000	0.00000	0.17217	0.26480	0.51459
-748.041975	-0.21107	0.17342	0.00000	0.00000	0.00000	0.00000	0.17342	0.14783	0.38449
-747.139106	-0.35623	0.17467	0.00000	0.00000	0.00000	0.00000	0.17467	0.28186	0.53091
-746.236236	-0.01102	0.17593	0.00000	0.00000	0.00000	0.00000	0.17593	0.03495	0.18696
-745.333366	-0.06224	0.17720	0.00000	0.00000	0.00000	0.00000	0.17720	0.05733	0.23944
-744.430496	-0.08834	0.17847	0.00000	0.00000	0.00000	0.00000	0.17847	0.07119	0.26681
-743.527626	0.19362	0.17975	0.00000	0.00000	0.00000	0.00000	0.17975	0.00019	-0.01387
-742.624757	-0.12747	0.18104	0.00000	0.00000	0.00000	0.00000	0.18104	0.09518	0.30851
-741.721887	0.11179	0.18233	0.00000	0.00000	0.00000	0.00000	0.18233	0.00498	0.07054
-740.819017	0.56770	0.18363	0.00000	0.00000	0.00000	0.00000	0.18363	0.14751	-0.38407
-739.916147	0.40376	0.18494	0.00000	0.00000	0.00000	0.00000	0.18494	0.04789	-0.21883
-739.013277	0.31240	0.18625	0.00000	0.00000	0.00000	0.00000	0.18625	0.01591	-0.12615
-738.110408	0.00519	0.18756	0.00000	0.00000	0.00000	0.00000	0.18756	0.03326	0.18237
-737.207538	0.34524	0.18889	0.00000	0.00000	0.00000	0.00000	0.18889	0.02445	-0.15635
-736.304668	0.12478	0.19022	0.00000	0.00000	0.00000	0.00000	0.19022	0.00428	0.06544
-735.401798	0.74277	0.19156	0.00000	0.00000	0.00000	0.00000	0.19156	0.30384	-0.55122
-734.498928	0.60741	0.19290	0.00000	0.00000	0.00000	0.00000	0.19290	0.17182	-0.41451
-733.596058	0.78769	0.19425	0.00000	0.00000	0.00000	0.00000	0.19425	0.35217	-0.59344
-732.693189	0.93306	0.19560	0.00000	0.00000	0.00000	0.00000	0.19560	0.54384	-0.73745
-731.790319	0.60989	0.19697	0.00000	0.00000	0.00000	0.00000	0.19697	0.17050	-0.41292
-730.887449	0.25991	0.19834	0.00000	0.00000	0.00000	0.00000	0.19834	0.00379	-0.06157
-729.984579	0.45359	0.19971	0.00000	0.00000	0.00000	0.00000	0.19971	0.06445	-0.25388
-729.081709	0.58013	0.20109	0.00000	0.00000	0.00000	0.00000	0.20109	0.14367	-0.37903
-728.178840	0.68762	0.20248	0.00000	0.00000	0.00000	0.00000	0.20248	0.23536	-0.48514
-727.275970	0.23186	0.20388	0.00000	0.00000	0.00000	0.00000	0.20388	0.00078	-0.02798
-726.373100	0.26295	0.20528	0.00000	0.00000	0.00000	0.00000	0.20528	0.00333	-0.05767
-725.470230	0.21458	0.20668	0.00000	0.00000	0.00000	0.00000	0.20668	0.00006	-0.00790
-724.567360	0.07023	0.20810	0.00000	0.00000	0.00000	0.00000	0.20810	0.01901	0.13787
-723.664491	-0.15327	0.20952	0.00000	0.00000	0.00000	0.00000	0.20952	0.13162	0.36279
-722.761621	-0.27557	0.21094	0.00000	0.00000	0.00000	0.00000	0.21094	0.23669	0.48651
-721.858751	-0.20591	0.21238	0.00000	0.00000	0.00000	0.00000	0.21238	0.17496	0.41828
-720.955881	0.12471	0.21382	0.00000	0.00000	0.00000	0.00000	0.21382	0.00794	0.08910
-720.053011	-0.16451	0.21526	0.00000	0.00000	0.00000	0.00000	0.21526	0.14423	0.37977
-719.150141	-0.09962	0.21671	0.00000	0.00000	0.00000	0.00000	0.21671	0.10007	0.31633
-718.247272	0.19704	0.21817	0.00000	0.00000	0.00000	0.00000	0.21817	0.00045	0.02114
-717.344402	0.19508	0.21964	0.00000	0.00000	0.00000	0.00000	0.21964	0.00060	0.02456
-716.441532	0.20201	0.22111	0.00000	0.00000	0.00000	0.00000	0.22111	0.00036	0.01910
-715.538662	0.23718	0.22259	0.00000	0.00000	0.00000	0.00000	0.22259	0.00021	-0.01460
-714.635792	-0.06045	0.22407	0.00000	0.00000	0.00000	0.00000	0.22407	0.08095	0.28452
-713.732923	-0.00530	0.22556	0.00000	0.00000	0.00000	0.00000	0.22556	0.05330	0.23086
-712.830053	-0.65531	0.22706	0.00000	0.00000	0.00000	0.00000	0.22706	0.77856	0.88236
-711.927183	-0.28156	0.22856	0.00000	0.00000	0.00000	0.00000	0.22856	0.26022	0.51012
-711.024313	0.05110	0.23007	0.00000	0.00000	0.00000	0.00000	0.23007	0.03203	0.17897
-710.121443	0.28066	0.23159	0.00000	0.00000	0.00000	0.00000	0.23159	0.00241	-0.04907
-709.218574	0.63372	0.23311	0.00000	0.00000	0.00000	0.00000	0.23311	0.16049	-0.40061
-708.315704	0.32370	0.23464	0.00000	0.00000	0.00000	0.00000	0.23464	0.00793	-0.08906
-707.412834	0.20898	0.23617	0.00000	0.00000	0.00000	0.00000	0.23617	0.00074	0.02719
-706.509964	0.56916	0.23771	0.00000	0.00000	0.00000	0.00000	0.23771	0.10986	-0.33144
-705.607094	0.44545	0.23926	0.00000	0.00000	0.00000	0.00000	0.23926	0.04251	-0.20619
-704.704224	-0.19758	0.24082	0.00000	0.00000	0.00000	0.00000	0.24082	0.19219	0.43840
-703.801355	0.24622	0.24238	0.00000	0.00000	0.00000	0.00000	0.24238	0.00001	-0.00384
-702.898485	-0.17787	0.24394	0.00000	0.00000	0.00000	0.00000	0.24394	0.17793	0.42182
-701.995615	-0.13408	0.24552	0.00000	0.00000	0.00000	0.00000	0.24552	0.14410	0.37960
-701.092745	0.03285	0.24709	0.00000	0.00000	0.00000	0.00000	0.24709	0.04590	0.21425
-700.189875	0.04446	0.24868	0.00000	0.00000	0.00000	0.00000	0.24868	0.04170	0.20422
-699.287006	-0.06195	0.25027	0.00000	0.00000	0.00000	0.00000	0.25027	0.09748	0.31222
-698.384136	-0.27594	0.25187	0.00000	0.00000	0.00000	0.00000	0.25187	0.27858	0.52781
