Dados;Densidade de Fluxo (Jy);G1;G2;G3;G4;G5;Ajuste;Erro
-7,22762E+12;-0.275566049298032;0.210943873686369;3,62E-66;0;0;7,08E+06;0.210943944535944;0.486509993833976
-7,21859E+12;-0.205907673663514;0.212376770239463;6,63E-68;0;0;7,34E+06;0.212376843616623;0.418284517280137
-7,20956E+12;0.124714661361867;0.213816071876851;1,21E-65;0;0;7,60E+06;0.213816147868794;0.0891014865069274
-7,20053E+11;-0.164512242191432;0.215261777046696;2,22E-65;0;0;7,87E+06;0.215261855743522;0.379774097934954
-7,1915E+12;-0.0996198564046331;0.216713883887097;4,06E-65;0;0;8,15E+06;0.216713965381896;0.31633382178653
-7,18247E+12;0.197036996387247;0.218172390223149;7,41E-65;0;0;8,44E+06;0.218172474612099;0.0211354782248522
-7,17344E+12;0.195080651209583;0.219637293565444;1,35E-64;0;0;8,74E+06;0.219637380947908;0.0245567297383246
-7,16442E+12;0.202011108062376;0.221108591108601;2,46E-65;0;0;9,05E+06;0.221108681587227;0.0190975735248513
-7,15539E+12;0.237183696894864;0.222586279728345;4,48E-64;0;0;9,37E+06;0.222586373409173;-0.0145973234856914
-7,14636E+12;-0.060451328485847;0.224070355980048;8,15E-64;0;0;9,70E+06;0.224070452972615;0.284521781458462
-7,13733E+12;-0.00529904422189276;0.225560816097305;1,48E-63;0;0;1,00E+07;0.225560916514758;0.230859960736651
-7,1283E+12;-0.655305135592442;0.227057655989031;2,68E-63;0;0;1,04E+07;0.227057759948238;0.88236289554068
-7,11927E+12;-0.281559957927474;0.228560871238052;4,87E-63;0;0;1,08E+07;0.228560978859722;0.510120936787196
-7,11024E+12;0.0511019710065384;0.230070457099717;8,81E-63;0;0;1,11E+07;0.23007056850852;0.178968597501981
-7,10121E+11;0.280660346641056;0.231586408499027;1,59E-62;0;0;1,15E+06;0.231586523823717;-0.0490738228173387
-7,09219E+12;0.633718214661361;0.233108720029436;2,88E-62;0;0;1,19E+07;0.233108839402984;-0.400609375258377
-7,08316E+12;0.323699940549684;0.234637385950672;5,20E-62;0;0;1,24E+07;0.234637509510392;-0.089062431039292
-7,07413E+12;0.208983189280648;0.236172400187574;9,39E-63;0;0;1,28E+07;0.236172528075264;0.0271893387946159
-7,0651E+12;0.569158823798414;0.237713756327263;1,69E-61;0;0;1,32E+07;0.237713888689342;-0.331444935109072
-7,05607E+12;0.445451209585215;0.239261447617836;3,05E-61;0;0;1,37E+07;0.23926158460549;-0.206189624979725
-7,04704E+12;-0.197582800567069;0.240815466967096;5,48E-61;0;0;1,42E+07;0.240815608736426;0.438398409303495
-7,03801E+12;0.246216184204506;0.242375806939747;9,84E-61;0;0;1,47E+07;0.242375953651922;-0.00384023055258362
-7,02898E+12;-0.177873663511232;0.243942459756141;1,77E-61;0;0;1,52E+06;0.243942611577558;0.42181627508879
-7,01996E+12;-0.13408483102392;0.245515417291064;3,17E-60;0;0;1,57E+07;0.245515574393505;0.379600405417425
-7,01093E+12;0.0328496867425763;0.247094671070957;5,67E-60;0;0;1,63E+07;0.247094833631761;0.214245146889185
-7,0019E+12;0.044462884712118;0.248680212272725;1,01E-59;0;0;1,68E+07;0.248680380474957;0.204217495762839
-6,99287E+12;-0.0619498056432057;0.250272031722569;1,81E-59;0;0;1,74E+07;0.250272205755199;0.312222011398405
-6,98384E+12;-0.275940668587374;0.25187011989325;3,24E-59;0;0;1,80E+07;0.251870299951334;0.527810968538708
-6,97481E+12;0.166526336488769;0.253474466902951;5,78E-59;0;0;1,86E+07;0.253474653187818;0.0869483166990486
-6,96578E+11;0.41285933141263;0.255085062514166;1,03E-58;0;0;1,93E+06;0.255085255233611;-0.157774076179019
-6,95676E+12;0.508907554762885;0.256701896131;1,83E-58;0;0;1,99E+07;0.256702095499486;-0.252205459263399
-6,94773E+12;0.488865422783189;0.258324956798274;3,26E-58;0;0;2,06E+07;0.258325163037132;-0.230540259746057
-6,9387E+12;0.691430397402474;0.259954233199569;5,79E-58;0;0;2,13E+07;0.259954446537211;-0.431475950865263
-6,92967E+12;0.269130397402474;0.261589713656371;1,03E-57;0;0;2,21E+07;0.261589934328507;-0.00754046307396744
-6,92064E+12;0.253687757808567;0.263231386125432;1,82E-57;0;0;2,28E+07;0.263231614375291;0.00954385656672413
-6,91161E+12;0.0340567933415628;0.264879238197772;3,23E-57;0;0;2,36E+07;0.264879474276333;0.23082268093477
-6,90258E+12;0.206589788265418;0.266533257097706;5,72E-58;0;0;2,44E+07;0.266533501263932;0.0599437129985141
-6,89355E+12;0.206777097910091;0.268193429680247;1,01E-56;0;0;2,53E+07;0.26819368220133;0.0614165842912394
-6,88453E+12;-0.0445300086888913;0.269859742430173;1,79E-56;0;0;2,61E+07;0.269860003581783;0.314390012270674
